RANK,WORD
1,you
2,I
3,to
4,the
5,a
6,and
7,that
8,it
9,of
10,me
11,what
12,is
13,in
14,this
15,know
16,I'm
17,for
18,no
19,have
20,my
21,don't
22,just
23,not
24,do
25,be
26,on
27,your
28,was
29,we
30,it's
31,with
32,so
33,but
34,all
35,well
36,are
37,he
38,oh
39,about
40,right
41,you're
42,get
43,here
44,out
45,going
46,like
47,yeah
48,if
49,her
50,she
51,can
52,up
53,want
54,think
55,that's
56,now
57,go
58,him
59,at
60,how
61,got
62,there
63,one
64,did
65,why
66,see
67,come
68,good
69,they
70,really
71,as
72,would
73,look
74,when
75,time
76,will
77,okay
78,back
79,can't
80,mean
81,tell
82,I'll
83,from
84,hey
85,were
86,he's
87,could
88,didn't
89,yes
90,his
91,been
92,or
93,something
94,who
95,because
96,some
97,had
98,then
99,say
100,ok
101,take
,
